20
1 2 3 4
6 9 12 7
13 0 10 8
14 5 11 15
5 1 2 4
6 3 7 10
14 13 0 8
9 11 12 15
9 5 6 3
4 2 0 1
7 14 10 8
13 11 15 12
2 5 0 4
9 1 3 7
11 14 6 15
13 12 8 10
3 0 7 12
6 2 8 4
1 5 10 15
9 14 13 11
1 2 3 4
10 0 8 14
6 7 5 11
9 12 13 15
11 1 6 4
10 3 0 12
9 2 8 15
13 14 5 7
10 3 11 2
1 6 4 7
0 9 8 12
5 13 14 15
1 9 2 3
5 4 11 12
10 7 14 8
6 13 0 15
5 3 6 4
9 2 1 8
0 12 15 11
13 10 14 7
1 6 4 2
5 8 0 15
9 12 3 10
13 14 7 11
1 2 3 11
6 12 10 7
5 4 0 8
9 13 14 15
6 2 7 4
9 1 11 12
10 14 5 3
13 15 0 8
1 2 0 3
9 7 8 6
10 15 14 4
5 13 12 11
10 6 2 4
7 9 15 1
13 11 14 8
3 5 0 12
2 13 3 4
6 11 7 8
5 9 12 1
10 0 14 15
1 3 7 0
5 6 10 2
9 14 15 4
13 12 11 8
2 3 4 7
1 6 5 11
0 10 15 14
9 13 12 8
3 6 1 2
5 8 11 4
9 10 15 0
13 14 7 12
1 2 8 3
13 0 9 4
14 6 12 15
5 10 11 7
4 5 6 2
0 1 3 7
13 10 9 8
12 15 14 11
1 10 6 2
11 4 15 0
5 14 3 7
9 13 12 8
2 7 5 4
0 1 11 8
6 3 14 13
10 12 9 15
10 2 0 4
8 1 3 11
5 9 15 7
13 14 6 12
2 5 3 0
1 10 12 4
14 8 15 11
9 13 7 6
3 7 8 4
1 10 2 15
0 5 14 6
9 13 12 11
7 2 3 4
6 1 0 8
10 15 14 11
5 9 13 12
3 1 4 8
6 2 11 9
15 10 7 14
5 13 12 0
3 11 4 0
2 9 7 15
10 14 8 12
1 6 5 13
0 1 10 4
5 2 6 9
3 14 7 15
13 12 11 8
1 13 3 4
5 11 0 8
7 10 15 6
9 2 14 12
1 3 2 4
6 0 10 5
9 14 11 8
13 15 7 12
3 5 12 4
9 2 7 8
10 0 11 1
13 6 14 15
10 4 1 2
5 3 6 8
14 9 7 12
15 13 11 0
3 4 8 14
6 5 0 7
1 10 2 9
13 11 12 15
5 1 3 4
2 10 11 12
13 6 9 14
15 7 8 0
5 10 6 4
9 2 12 8
14 1 13 15
11 3 0 7
2 4 3 8
14 13 5 1
10 6 9 7
15 0 11 12
1 3 6 4
5 2 15 11
9 13 12 7
0 14 10 8
10 9 6 2
7 0 4 15
11 1 12 5
13 14 8 3
2 3 4 8
15 10 7 11
1 13 5 6
9 14 0 12
5 6 14 3
1 15 9 4
2 8 10 12
13 11 7 0
3 0 4 7
1 5 8 2
9 11 10 14
13 6 15 12
6 1 2 4
3 5 7 0
11 14 10 8
9 13 15 12
5 1 4 0
13 3 7 8
10 2 12 15
6 14 11 9
5 1 2 3
7 0 6 4
10 8 9 14
13 11 12 15
7 9 1 4
0 15 2 8
6 5 3 11
13 14 10 12
2 5 14 4
15 3 6 10
0 9 8 7
13 1 12 11
5 0 9 4
2 10 3 12
13 1 11 14
15 6 8 7
2 7 6 8
1 11 15 0
5 4 14 3
13 9 10 12
